time,value
1,-1845
2,41523
3,83190
4,116395
5,141312
6,162139
7,180695
8,191857
9,184978
10,150812
11,89157
12,11658
13,-62429
14,-114785
15,-135423
16,-124781
17,-90391
18,-41582
19,13848
20,69570
21,119004
22,154776
23,170690
24,164862
25,141306
26,108296
27,74299
28,44154
29,17875
30,-7541
31,-34974
32,-64992
33,-95728
34,-124273
35,-148176
36,-166074
37,-177504
38,-182576
39,-181909
40,-176598
41,-167740
42,-155535
43,-138620
44,-114473
45,-80980
46,-38307
47,10191
48,58722
49,101012
50,132286
51,150230
52,154797
53,147470
54,130712
55,107723
56,82119
57,57161
58,34785
59,15152
60,-2719
61,-19493
62,-34258
63,-44490
64,-47384
65,-41655
66,-28494
67,-11001
68,7453
69,24714
70,40198
71,54045
72,65930
73,74545
74,78076
75,75232
76,65975
77,51485
78,33532
79,13809
80,-6344
81,-25855
82,-43755
83,-59179
84,-71478
85,-80240
86,-85162
87,-85948
88,-82458
89,-75080
90,-64989
91,-53907
92,-43364
93,-33905
94,-24853
95,-14889
96,-3080
97,10365
98,24118
99,36466
100,46112
101,52473
102,55365
103,54511
104,49449
105,39948
106,26588
107,10905
108,-5090
109,-19690
110,-31960
111,-41579
112,-48265
113,-51387
114,-50176
115,-44368
116,-34726
117,-22903
118,-10688
119,803
120,11366
121,21194
122,30088
123,37081
124,40833
125,40520
126,36511
127,30271
128,23552
129,17433
130,11921
131,6320
132,32
133,-6817
134,-13351
135,-18428
136,-21191
137,-21283
138,-18670
139,-13354
140,-5335
141,5082
142,16889
143,28274
144,37038
145,41374
146,40602
147,35419
148,27521
149,18825
150,10702
151,3629
152,-2638
153,-8539
154,-14178
155,-19087
156,-22372
157,-23106
158,-20743
159,-15342
160,-7577
161,1417
162,10257
163,17540
164,22100
165,23278
166,21111
167,16315
168,10003
169,3241
170,-3301
171,-9398
172,-14978
173,-19749
174,-23040
175,-24033
176,-22256
177,-17970
178,-12166
179,-6142
180,-958
181,2889
182,5386
183,6706
184,6959
185,6216
186,4681
187,2783
188,978
189,-601
190,-2330
191,-4869
192,-8592
193,-13069
194,-17038
195,-18983
196,-17991
197,-14341
198,-9418
199,-5013
200,-2452
201,-2053
202,-3161
203,-4615
204,-5300
205,-4506
206,-2039
207,1792
208,6215
209,10078
210,12086
211,11220
212,7188
213,665
214,-6844
215,-13509
216,-17777
217,-18813
218,-16617
219,-11859
220,-5597
221,995
222,6832
223,11083
224,13300
225,13491
226,12067
227,9684
228,7022
229,4622
230,2819
231,1771
232,1506
233,1943
234,2897
235,4112
236,5334
237,6394
238,7241
239,7873
240,8213
241,8016
242,6898
243,4518
244,821
245,-3774
246,-8360
247,-11758
248,-12886
249,-11160
250,-6734
251,-481
252,6300
253,12318
254,16670
255,18999
256,19388
257,18109
258,15420
259,11514
260,6630
261,1185
262,-4205
263,-8865
264,-12260
265,-14123
266,-14441
267,-13332
268,-10950
269,-7483
270,-3233
271,1296
272,5429
273,8466
274,9900
275,9606
276,7906
277,5494
278,3196
279,1639
280,939
281,578
282,-391
283,-2827
284,-6890
285,-11721
286,-15656
287,-16968
288,-14727
289,-9301
290,-2173
291,4774
292,10068
293,13071
294,13867
295,12850
296,10386
297,6760
298,2312
299,-2493
300,-7199
301,-11537
302,-15396
303,-18489
304,-19974
305,-18492
306,-12825
307,-2899
308,9562
309,21322
310,28893
311,30071
312,24865
313,15260
314,4081
315,-6262
316,-14386
317,-19735
318,-22021
319,-20953
320,-16518
321,-9503
322,-1673
323,4741
324,8018
325,7757
326,4982
327,1486
328,-1102
329,-1970
330,-1184
331,673
332,2903
333,4866
334,5966
335,5661
336,3637
337,35
338,-4483
339,-8964
340,-12559
341,-14812
342,-15656
343,-15178
344,-13395
345,-10253
346,-5826
347,-509
348,4992
349,9886
350,13541
351,15577
352,15767
353,13947
354,10097
355,4605
356,-1547
357,-6910
358,-10081
359,-10331
360,-7963
361,-4142
362,-303
363,2504
364,3964
365,4399
366,4385
367,4374
368,4518
369,4718
370,4770
371,4491
372,3793
373,2716
374,1442
375,239
376,-657
377,-1176
378,-1451
379,-1698
380,-1990
381,-2106
382,-1592
383,-61
384,2480
385,5499
386,8118
387,9516
388,9305
389,7672
390,5240
391,2765
392,843
393,-267
394,-684
395,-836
396,-1304
397,-2566
398,-4710
399,-7254
400,-9229
401,-9555
402,-7571
403,-3412
404,1971
405,7194
406,10984
407,12605
408,11978
409,9509
410,5834
411,1619
412,-2517
413,-6033
414,-8511
415,-9726
416,-9660
417,-8447
418,-6281
419,-3390
420,-115
421,3014
422,5321
423,6226
424,5567
425,3776
426,1719
427,273
428,-142
429,253
430,791
431,805
432,1
433,-1444
434,-3101
435,-4592
436,-5772
437,-6694
438,-7440
439,-7994
440,-8244
441,-8083
442,-7484
443,-6491
444,-5145
445,-3439
446,-1363
447,1004
448,3420
449,5514
450,6907
451,7339
452,6751
453,5277
454,3193
455,856
456,-1359
457,-3131
458,-4267
459,-4744
460,-4685
461,-4257
462,-3571
463,-2632
464,-1385
465,176
466,1936
467,3652
468,5039
469,5862
470,6005
471,5481
472,4407
473,2974
474,1396
475,-162
476,-1635
477,-3061
478,-4473
479,-5745
480,-6509
481,-6256
482,-4630
483,-1739
484,1737
485,4787
486,6552
487,6772
488,5912
489,4866
490,4427
491,4846
492,5720
493,6241
494,5613
495,3400
496,-340
497,-5075
498,-9927
499,-13807
500,-15635
501,-14621
502,-10598
503,-4198
504,3235
505,10054
506,14850
507,16876
508,16165
509,13338
510,9248
511,4674
512,160
513,-3975
514,-7558
515,-10483
516,-12643
517,-13889
518,-14025
519,-12852
520,-10261
521,-6338
522,-1398
523,4068
524,9510
525,14425
526,18382
527,20997
528,21915
529,20874
530,17819
531,12991
532,6923
533,323
534,-6082
535,-11661
536,-15926
537,-18547
538,-19393
539,-18562
540,-16359
541,-13174
542,-9314
543,-4921
544,-57
545,5065
546,9901
547,13624
548,15426
549,14908
550,12290
551,8295
552,3795
553,-529
554,-4307
555,-7354
556,-9506
557,-10591
558,-10578
559,-9720
560,-8491
561,-7298
562,-6161
563,-4661
564,-2238
565,1324
566,5589
567,9579
568,12224
569,12848
570,11371
571,8169
572,3799
573,-1151
574,-5990
575,-9834
576,-11731
577,-11077
578,-8067
579,-3798
580,167
581,2583
582,3169
583,2683
584,2367
585,3115
586,4906
587,6820
588,7570
589,6193
590,2495
591,-2893
592,-8767
593,-13710
594,-16427
595,-16045
596,-12375
597,-6071
598,1444
599,8358
600,13048
601,14606
602,13070
603,9262
604,4378
605,-429
606,-4310
607,-6785
608,-7711
609,-7242
610,-5778
611,-3874
612,-2073
613,-725
614,102
615,591
616,1061
617,1855
618,3263
619,5453
620,8339
621,11435
622,13817
623,14363
624,12229
625,7355
626,657
627,-6275
628,-11853
629,-15144
630,-16115
631,-15352
632,-13509
633,-10892
634,-7460
635,-3162
636,1705
637,6446
638,10253
639,12602
640,13444
641,13064
642,11758
643,9628
644,6649
645,2947
646,-1002
647,-4437
648,-6639
649,-7287
650,-6594
651,-5151
652,-3607
653,-2427
654,-1820
655,-1796
656,-2207
657,-2716
658,-2768
659,-1723
660,826
661,4693
662,8964
663,12268
664,13365
665,11753
666,7921
667,3112
668,-1280
669,-4325
670,-5868
671,-6425
672,-6775
673,-7495
674,-8668
675,-9843
676,-10236
677,-9078
678,-5991
679,-1271
680,4080
681,8629
682,11047
683,10683
684,7875
685,3815
686,-13
687,-2510
688,-3394
689,-3156
690,-2605
691,-2337
692,-2441
693,-2597
694,-2422
695,-1771
696,-778
697,332
698,1468
699,2708
700,4111
701,5458
702,6195
703,5650
704,3438
705,-218
706,-4481
707,-8207
708,-10405
709,-10569
710,-8774
711,-5540
712,-1627
713,2143
714,5012
715,6418
716,6142
717,4412
718,1849
719,-761
720,-2776
721,-3903
722,-4180
723,-3779
724,-2805
725,-1261
726,806
727,3128
728,5198
729,6461
730,6594
731,5648
732,3948
733,1841
734,-496
735,-3026
736,-5648
737,-8033
738,-9688
739,-10212
740,-9543
741,-7973
742,-5883
743,-3456
744,-624
745,2645
746,5979
747,8492
748,9169
749,7526
750,4082
751,219
752,-2544
753,-3427
754,-2802
755,-1854
756,-1754
757,-2911
758,-4807
759,-6464
760,-7110
761,-6547
762,-5011
763,-2751
764,224
765,4002
766,8374
767,12610
768,15690
769,16878
770,16198
771,14406
772,12437
773,10735
774,8992
775,6517
776,2955
777,-1214
778,-4826
779,-6742
780,-6630
781,-5231
782,-3904
783,-3754
784,-4929
785,-6531
786,-7164
787,-5741
788,-2059
789,3144
790,8558
791,12840
792,15025
793,14696
794,11961
795,7327
796,1539
797,-4607
798,-10429
799,-15462
800,-19432
801,-22121
802,-23243
803,-22438
804,-19441
805,-14318
806,-7601
807,-215
808,6794
809,12554
810,16535
811,18518
812,18464
813,16407
814,12474
815,7001
816,614
817,-5804
818,-11290
819,-15027
820,-16517
821,-15658
822,-12719
823,-8269
824,-3075
825,2018
826,6259
827,9146
828,10518
829,10529
830,9502
831,7768
832,5587
833,3173
834,783
835,-1258
836,-2652
837,-3303
838,-3421
839,-3444
840,-3753
841,-4369
842,-4831
843,-4417
844,-2604
845,485
846,3959
847,6483
848,6901
849,4831
850,873
851,-3650
852,-7281
853,-8987
854,-8446
855,-5970
856,-2236
857,1967
858,5865
859,8725
860,9935
861,9171
862,6582
863,2828
864,-1119
865,-4350
866,-6341
867,-7045
868,-6716
869,-5633
870,-3955
871,-1794
872,594
873,2717
874,4002
875,4124
876,3273
877,2118
878,1449
879,1712
880,2743
881,3880
882,4380
883,3847
884,2420
885,617
886,-999
887,-2119
888,-2755
889,-3114
890,-3390
891,-3630
892,-3726
893,-3500
894,-2795
895,-1546
896,184
897,2200
898,4216
899,5937
900,7154
901,7797
902,7880
903,7390
904,6206
905,4154
906,1201
907,-2350
908,-5836
909,-8449
910,-9598
911,-9186
912,-7606
913,-5470
914,-3262
915,-1152
916,915
917,2968
918,4825
919,6122
920,6533
921,5976
922,4659
923,2928
924,1077
925,-717
926,-2304
927,-3437
928,-3799
929,-3194
930,-1788
931,-155
932,977
933,1149
934,480
935,-365
936,-573
937,309
938,2065
939,3876
940,4709
941,3783
942,884
943,-3563
944,-8611
945,-13000
946,-15424
947,-14855
948,-10895
949,-4056
950,4241
951,12014
952,17366
953,19131
954,17224
955,12534
956,6444
957,273
958,-5087
959,-9221
960,-12017
961,-13461
962,-13553
963,-12363
964,-10115
965,-7191
966,-4004
967,-846
968,2208
969,5230
970,8248
971,11041
972,13070
973,13604
974,12036
975,8225
976,2696
977,-3447
978,-8873
979,-12521
980,-13972
981,-13531
982,-11962
983,-10028
984,-8098
985,-6031
986,-3387
987,174
988,4553
989,9128
990,12962
991,15180
992,15315
993,13447
994,10111
995,6042
996,1896
997,-1917
998,-5254
999,-8108
1000,-10439
1001,-12043
1002,-12567
1003,-11649
1004,-9129
1005,-5208
1006,-456
1007,4342
1008,8416
1009,11204
1010,12430
1011,12058
1012,10240
1013,7294
1014,3736
1015,257
1016,-2415
1017,-3780
1018,-3808
1019,-2975
1020,-2033
1021,-1582
1022,-1712
1023,-1934
1024,-1482
1025,178
1026,2925
1027,5913
1028,7901
1029,7821
1030,5292
1031,827
1032,-4335
1033,-8668
1034,-10884
1035,-10317
1036,-7083
1037,-2000
1038,3687
1039,8661
1040,11877
1041,12801
1042,11472
1043,8393
1044,4304
1045,-57
1046,-4103
1047,-7426
1048,-9732
1049,-10793
1050,-10461
1051,-8780
1052,-6078
1053,-2960
1054,-137
1055,1855
1056,2889
1057,3283
1058,3594
1059,4271
1060,5368
1061,6494
1062,7031
